Date,Open,High,Low,Close,Adj Close,Volume
2010-05-03,1.332303,1.332694,1.254044,1.287498,1.287498,0
2010-05-10,1.287896,1.309192,1.234202,1.237042,1.237042,0
2010-05-17,1.237226,1.267202,1.214595,1.253604,1.253604,0
2010-05-24,1.253400,1.254501,1.215569,1.226873,1.226873,0
2010-05-31,1.227717,1.233898,1.192805,1.193403,1.193403,0
2010-06-07,1.194415,1.215200,1.188199,1.214285,1.214285,0
2010-06-14,1.214727,1.246588,1.214727,1.241403,1.241403,0
2010-06-21,1.240895,1.246805,1.221076,1.238007,1.238007,0
2010-06-28,1.238007,1.261002,1.215436,1.256108,1.256108,0
2010-07-05,1.255524,1.272103,1.248377,1.264606,1.264606,0
2010-07-12,1.264606,1.300407,1.252536,1.290323,1.290323,0
2010-07-19,1.290256,1.302677,1.273593,1.288843,1.288843,0
2010-07-26,1.288926,1.310702,1.288693,1.305995,1.305995,0
2010-08-02,1.306012,1.332996,1.305773,1.318131,1.318131,0
2010-08-09,1.328604,1.330424,1.275348,1.282989,1.282989,0
2010-08-16,1.276992,1.291906,1.266560,1.280803,1.280803,0
2010-08-23,1.271084,1.278004,1.259192,1.270648,1.270648,0
2010-08-30,1.275299,1.288494,1.262802,1.282594,1.282594,0
2010-09-06,1.289407,1.291639,1.264702,1.269309,1.269309,0
2010-09-13,1.271892,1.315703,1.271698,1.307600,1.307600,0
2010-09-20,1.304206,1.349200,1.303101,1.331913,1.331913,0
2010-09-27,1.348199,1.377581,1.338401,1.362212,1.362212,0
2010-10-04,1.377771,1.402308,1.363903,1.392796,1.392796,0
2010-10-11,1.398738,1.414807,1.378018,1.407202,1.407202,0
2010-10-18,1.397097,1.405106,1.370445,1.391692,1.391692,0
2010-10-25,1.393748,1.407697,1.376008,1.377809,1.377809,0
2010-11-01,1.393767,1.428204,1.386616,1.422799,1.422799,0
2010-11-08,1.407598,1.408114,1.357995,1.362101,1.362101,0
2010-11-15,1.369563,1.374703,1.346547,1.365728,1.365728,0
2010-11-22,1.374495,1.378645,1.320446,1.333974,1.333974,0
2010-11-29,1.324275,1.337667,1.297252,1.321598,1.321598,0
2010-12-06,1.341706,1.341976,1.317402,1.324205,1.324205,0
2010-12-13,1.319871,1.349418,1.314302,1.323995,1.323995,0
2010-12-20,1.316378,1.319993,1.305807,1.312715,1.312715,0
2010-12-27,1.308198,1.342372,1.308198,1.330123,1.330123,0
2011-01-03,1.335595,1.343093,1.293895,1.297993,1.297993,0
2011-01-10,1.289807,1.344899,1.287714,1.335327,1.335327,0
2011-01-17,1.337614,1.358899,1.325293,1.346801,1.346801,0
2011-01-24,1.362194,1.375629,1.354701,1.372307,1.372307,0
2011-01-31,1.357607,1.386001,1.354591,1.362454,1.362454,0
2011-02-07,1.357515,1.372816,1.350986,1.360193,1.360193,0
2011-02-14,1.351516,1.364517,1.343165,1.362602,1.362602,0
2011-02-21,1.371366,1.383796,1.352795,1.381998,1.381998,0
2011-02-28,1.373608,1.400697,1.371310,1.395888,1.395888,0
2011-03-07,1.398875,1.403607,1.375421,1.380129,1.380129,0
2011-03-14,1.393476,1.414547,1.385809,1.403292,1.403292,0
2011-03-21,1.416792,1.424806,1.405600,1.417193,1.417193,0
2011-03-28,1.402505,1.424197,1.402406,1.422394,1.422394,0
2011-04-04,1.422394,1.448708,1.415609,1.446341,1.446341,0
2011-04-11,1.446090,1.451927,1.436844,1.441192,1.441192,0
2011-04-18,1.441691,1.464794,1.416591,1.455710,1.455710,0
2011-04-25,1.455519,1.488206,1.449969,1.479115,1.479115,0
2011-05-02,1.480560,1.493808,1.446697,1.454440,1.454440,0
2011-05-09,1.434597,1.444043,1.412609,1.423792,1.423792,0
2011-05-16,1.407559,1.434391,1.405086,1.431619,1.431619,0
2011-05-23,1.410875,1.430308,1.397604,1.413507,1.413507,0
2011-05-30,1.429490,1.460494,1.425984,1.448604,1.448604,0
2011-06-06,1.465610,1.469184,1.435709,1.451568,1.451568,0
2011-06-13,1.433363,1.448604,1.407796,1.419910,1.419910,0
2011-06-20,1.429409,1.443793,1.413128,1.427002,1.427002,0
2011-06-27,1.417595,1.454609,1.410795,1.449695,1.449695,0
2011-07-04,1.454609,1.457705,1.421403,1.436451,1.436451,0
2011-07-11,1.420495,1.427409,1.384198,1.415729,1.415729,0
2011-07-18,1.411931,1.443522,1.401797,1.442003,1.442003,0
2011-07-25,1.438166,1.453509,1.423852,1.433199,1.433199,0
2011-08-01,1.436534,1.445128,1.405797,1.406707,1.406707,0
2011-08-08,1.430063,1.440051,1.410656,1.422637,1.422637,0
2011-08-15,1.427287,1.451379,1.426595,1.432439,1.432439,0
2011-08-22,1.436947,1.449801,1.433219,1.437298,1.437298,0
2011-08-29,1.449675,1.454694,1.419305,1.426208,1.426208,0
2011-09-05,1.415568,1.423690,1.364908,1.390414,1.390414,0
2011-09-12,1.359601,1.392758,1.351497,1.386905,1.386905,0
